Datetime,Month,Day,Weekday,Hour,Distance_km
2025-01-01 00:00:00,1,1,수요일,0,0.8628337166283367
2025-01-01 01:00:00,1,1,수요일,1,0.5599240075992399
2025-01-01 02:00:00,1,1,수요일,2,0.48649135086491335
2025-01-01 03:00:00,1,1,수요일,3,0.40387961203879597
2025-01-01 04:00:00,1,1,수요일,4,0.5323867613238674
2025-01-01 05:00:00,1,1,수요일,5,0.9362663733626634
2025-01-01 06:00:00,1,1,수요일,6,1.560443955604439
2025-01-01 07:00:00,1,1,수요일,7,2.202979702029796
2025-01-01 08:00:00,1,1,수요일,8,2.4416358364163577
2025-01-01 09:00:00,1,1,수요일,9,2.0928307169283062
2025-01-01 10:00:00,1,1,수요일,10,1.7440255974402552
2025-01-01 11:00:00,1,1,수요일,11,1.8266373362663726
2025-01-01 12:00:00,1,1,수요일,12,1.927607239276072
2025-01-01 13:00:00,1,1,수요일,13,1.854174582541745
2025-01-01 14:00:00,1,1,수요일,14,1.90924907509249
2025-01-01 15:00:00,1,1,수요일,15,2.0928307169283062
2025-01-01 16:00:00,1,1,수요일,16,2.276412358764123
2025-01-01 17:00:00,1,1,수요일,17,2.4967103289671027
2025-01-01 18:00:00,1,1,수요일,18,2.331486851314868
2025-01-01 19:00:00,1,1,수요일,19,1.9826817318268168
2025-01-01 20:00:00,1,1,수요일,20,1.661413858614138
2025-01-01 21:00:00,1,1,수요일,21,1.367683231676832
2025-01-01 22:00:00,1,1,수요일,22,1.156564343565643
2025-01-01 23:00:00,1,1,수요일,23,1.0188781121887809
2025-01-02 00:00:00,1,2,목요일,0,0.8712928707129284
2025-01-02 01:00:00,1,2,목요일,1,0.5654134586541344
2025-01-02 02:00:00,1,2,목요일,2,0.49126087391260864
2025-01-02 03:00:00,1,2,목요일,3,0.4078392160783921
2025-01-02 04:00:00,1,2,목요일,4,0.5376062393760622
2025-01-02 05:00:00,1,2,목요일,5,0.9454454554544544
2025-01-02 06:00:00,1,2,목요일,6,1.5757424257574237
2025-01-02 07:00:00,1,2,목요일,7,2.2245775422457745
2025-01-02 08:00:00,1,2,목요일,8,2.465573442655734
2025-01-02 09:00:00,1,2,목요일,9,2.113348665133486
2025-01-02 10:00:00,1,2,목요일,10,1.7611238876112383
2025-01-02 11:00:00,1,2,목요일,11,1.844545545445455
2025-01-02 12:00:00,1,2,목요일,12,1.946505349465053
2025-01-02 13:00:00,1,2,목요일,13,1.872352764723527
2025-01-02 14:00:00,1,2,목요일,14,1.9279672032796715
2025-01-02 15:00:00,1,2,목요일,15,2.113348665133486
2025-01-02 16:00:00,1,2,목요일,16,2.2987301269873006
2025-01-02 17:00:00,1,2,목요일,17,2.5211878812118784
2025-01-02 18:00:00,1,2,목요일,18,2.354344565543445
2025-01-02 19:00:00,1,2,목요일,19,2.0021197880211976
2025-01-02 20:00:00,1,2,목요일,20,1.6777022297770219
2025-01-02 21:00:00,1,2,목요일,21,1.3810918908109187
2025-01-02 22:00:00,1,2,목요일,22,1.1679032096790318
2025-01-02 23:00:00,1,2,목요일,23,1.0288671132886709
2025-01-03 00:00:00,1,3,금요일,0,0.9135886411358862
2025-01-03 01:00:00,1,3,금요일,1,0.5928607139286071
2025-01-03 02:00:00,1,3,금요일,2,0.5151084891510849
2025-01-03 03:00:00,1,3,금요일,3,0.4276372362763723
2025-01-03 04:00:00,1,3,금요일,4,0.5637036296370361
2025-01-03 05:00:00,1,3,금요일,5,0.9913408659134085
2025-01-03 06:00:00,1,3,금요일,6,1.6522347765223475
2025-01-03 07:00:00,1,3,금요일,7,2.3325667433256667
2025-01-03 08:00:00,1,3,금요일,8,2.5852614738526145
2025-01-03 09:00:00,1,3,금요일,9,2.2159384061593834
2025-01-03 10:00:00,1,3,금요일,10,1.8466153384661528
2025-01-03 11:00:00,1,3,금요일,11,1.9340865913408654
2025-01-03 12:00:00,1,3,금요일,12,2.0409959004099587
2025-01-03 13:00:00,1,3,금요일,13,1.9632436756324363
2025-01-03 14:00:00,1,3,금요일,14,2.021557844215578
2025-01-03 15:00:00,1,3,금요일,15,2.2159384061593834
2025-01-03 16:00:00,1,3,금요일,16,2.4103189681031894
2025-01-03 17:00:00,1,3,금요일,17,2.6435756424357564
2025-01-03 18:00:00,1,3,금요일,18,2.468633136686331
2025-01-03 19:00:00,1,3,금요일,19,2.0993100689931006
2025-01-03 20:00:00,1,3,금요일,20,1.7591440855914406
2025-01-03 21:00:00,1,3,금요일,21,1.4481351864813516
2025-01-03 22:00:00,1,3,금요일,22,1.2245975402459752
2025-01-03 23:00:00,1,3,금요일,23,1.0788121187881212
2025-01-04 00:00:00,1,4,토요일,0,0.7190280971902806
2025-01-04 01:00:00,1,4,토요일,1,0.46660333966603323
2025-01-04 02:00:00,1,4,토요일,2,0.4054094590540945
2025-01-04 03:00:00,1,4,토요일,3,0.3365663433656633
2025-01-04 04:00:00,1,4,토요일,4,0.44365563443655615
2025-01-04 05:00:00,1,4,토요일,5,0.7802219778022195
2025-01-04 06:00:00,1,4,토요일,6,1.3003699630036991
2025-01-04 07:00:00,1,4,토요일,7,1.8358164183581633
2025-01-04 08:00:00,1,4,토요일,8,2.034696530346965
2025-01-04 09:00:00,1,4,토요일,9,1.7440255974402552
2025-01-04 10:00:00,1,4,토요일,10,1.453354664533546
2025-01-04 11:00:00,1,4,토요일,11,1.522197780221977
2025-01-04 12:00:00,1,4,토요일,12,1.6063393660633931
2025-01-04 13:00:00,1,4,토요일,13,1.5451454854514541
2025-01-04 14:00:00,1,4,토요일,14,1.5910408959104083
2025-01-04 15:00:00,1,4,토요일,15,1.7440255974402552
2025-01-04 16:00:00,1,4,토요일,16,1.8970102989701023
2025-01-04 17:00:00,1,4,토요일,17,2.080591940805919
2025-01-04 18:00:00,1,4,토요일,18,1.9429057094290565
2025-01-04 19:00:00,1,4,토요일,19,1.6522347765223473
2025-01-04 20:00:00,1,4,토요일,20,1.384511548845115
2025-01-04 21:00:00,1,4,토요일,21,1.13973602639736
2025-01-04 22:00:00,1,4,토요일,22,0.9638036196380358
2025-01-04 23:00:00,1,4,토요일,23,0.8490650934906507
2025-01-05 00:00:00,1,5,일요일,0,0.6344365563443654
2025-01-05 01:00:00,1,5,일요일,1,0.4117088291170882
2025-01-05 02:00:00,1,5,일요일,2,0.35771422857714225
2025-01-05 03:00:00,1,5,일요일,3,0.296970302969703
2025-01-05 04:00:00,1,5,일요일,4,0.39146085391460844
2025-01-05 05:00:00,1,5,일요일,5,0.6884311568843114
2025-01-05 06:00:00,1,5,일요일,6,1.1473852614738524
2025-01-05 07:00:00,1,5,일요일,7,1.6198380161983796
2025-01-05 08:00:00,1,5,일요일,8,1.7953204679532044
2025-01-05 09:00:00,1,5,일요일,9,1.5388461153884607
