지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,1098.9130089091175,539.9994947364623,78493.92548047012,-77395.012471561,49.139421442695976
ICN,31828.547240465927,2399.9977543842283,56374.27749398305,-24545.73025351712,7.5403936480422775
GGD,15231.220837949015,4257.6980098047525,135574.94728167175,-120343.72644372273,27.95375403655483
GWD,80033.77016770115,6147.397185327412,27116.994926106985,52916.775241594165,7.681004121692981
CBD,10888.339730894566,4368.846908994405,29974.054238796714,-19085.71450790215,40.12408702309538
CND,157945.77034935076,6389.611020343362,42815.78002741749,115129.99032193326,4.045446108629921
DJN,1826.5306643499164,899.9991578940765,25683.4515755726,-23856.92091122268,49.27369550701721
SJG,0.0,0.0,0.0,0.0,0.0
JBD,10441.571916552204,9528.842080920525,33537.857824368664,-23096.28590781646,91.25869320322546
JND,72219.79031613436,12541.604214125498,34254.62950398241,37965.16081215195,17.36588289612304
GWJ,3193.9000598130133,1399.9986900574934,29257.282559095118,-26063.382499282106,43.833515884634664
GBD,113017.00109055064,8749.692756804461,41382.23668039671,71634.76441015392,7.741926145955773
DGU,4813.576175109028,2039.9980912266265,44239.29598167027,-39425.71980656124,42.38009365626005
GND,64894.86961619753,4065.7831840598733,51376.93054733897,13517.939068858564,6.265184302096307
BSN,42826.325537270655,1488.8496037332322,53517.21818392855,-10690.892646657892,3.4764822455700157
USN,27379.50860017385,1119.9989520459724,41382.23668039671,-14002.728080222856,4.090646652580393
JJD,2488.394991854227,1806.976273119769,9277.92220220557,-6789.527210351342,72.61613526127944
