지역,발전량(MWh),부하량(MWh),밸런스(MWh)
JND,57639338.39471009,34254629.50398241,23384708.890727676
DGU,8197987.405880572,44239295.98167027,-36041308.5757897
BSN,114292940.13826793,53517218.18392855,60775721.954339385
SEL,703222.8249482205,78493925.48047012,-77790702.6555219
GWJ,3594434.416012693,29257282.55909512,-25662848.143082425
DJN,2362811.913625276,25683451.5755726,-23320639.66194732
GND,35723210.66528236,51376930.54733897,-15653719.882056609
USN,23313151.93687021,41382236.680396706,-18069084.743526496
CBD,118982639.52853,29974054.238796715,89008585.28973329
GBD,93138855.6858865,41382236.680396706,51756619.0054898
CND,85988912.72498815,42815780.02741749,43173132.69757066
SJN,399999.62573072565,7844378.849906213,-7444379.224175487
JJD,1873327.3346198106,9277922.202205569,-7404594.867585758
GGD,23252369.969772004,135574947.28167173,-112322577.31189972
ICN,23797987.17852394,56374277.493983045,-32576290.315459106
GWD,44427255.90195316,27116994.926106986,17310260.975846175
JBD,10219389.380920524,33537857.824368663,-23318468.44344814
