발전기명,총발전량(MWh)
BSN_Coal,193930105.9604873
GBD_Nuclear,80110080.0
GGD_LNG_Fuel_Supply,53081712.0
JND_Nuclear,41460480.0
CND_Coal,39785666.62737292
BSN_Nuclear,31973760.0
GWD_Coal,23504657.249034885
GND_Coal,21019909.772010706
USN_Nuclear,19676160.0
SEL_H_Fallback_Gen,15540203.568672001
JND_PV,11119989.59531367
BSN_H_Fallback_Gen,9842315.574528
JBD_PV,9439991.167244786
ICN_H_Fallback_Gen,9393312.78864
GND_H_Fallback_Gen,8898232.107743997
GGD_H_Fallback_Gen,7908937.120655995
GBD_PV,7179993.281866399
USN_H_Fallback_Gen,7061293.154735999
GBD_H_Fallback_Gen,6513171.554735998
CND_PV,6359994.049118115
